id,question_text_de,question_text_en,question_text_dari,question_text_pashto,category,state,image
218,Wie viele Bundesländer kamen bei der Wiedervereinigung 1990 zur Bundesrepublik Deutschland hinzu?,How many federal states were added to the Federal Republic of Germany during reunification in 1990?,چند ایالت فدرال در طول اتحاد مجدد در سال 1990 به جمهوری فدرال آلمان اضافه شد؟,په 1990 کې د بیا یونیو په مهال د آلمان وفاقي جمهوریت ته څومره وفاقي ایالتونه اضافه شو؟,general,,
219,Die Bundesrepublik Deutschland hat die Grenzen von heute seit ...,The Federal Republic of Germany has had the borders of today since...,جمهوری فدرال آلمان از زمان امروز مرزهای امروز را دارد...,د جرمني وفاقي جمهوریت له راهیسې د نن ورځ سرحدونه درلود,general,,
220,Der 27. Januar ist in Deutschland ein offizieller Gedenktag. Woran erinnert dieser Tag?,January 27 is an official day of remembrance in Germany. What is this day reminiscent of?,۲۷ ژانویه روز رسمی یادبود در آلمان است. این روز یادآور چه چیزی است؟,27 جنوري په جرمني کې د یادولو رسمي ورځ ده. دا ورځ د څه یادونه کوي؟,general,,
221,Deutschland ist Mitglied des Schengener Abkommens. Was bedeutet das?,Germany is a member of the Schengen Agreement. What does that mean?,آلمان عضو توافقنامه شنگن است. اين به چه معناست؟,آلمان د شینګن تړون غړی دی. دا څه معنی لري؟,general,,
222,Welches Land ist ein Nachbarland von Deutschland?,Which country is a neighboring country of Germany?,کدام کشور همسایه آلمان است؟,کوم هیواد د آلمان ګاونډي هیواد دی؟,general,,
223,Welches Land ist ein Nachbarland von Deutschland?,Which country is a neighboring country of Germany?,کدام کشور همسایه آلمان است؟,کوم هیواد د آلمان ګاونډي هیواد دی؟,general,,
224,Was bedeutet die Abkürzung EU?,What does the abbreviation EU mean?,اختصار EU به چه معناست؟,د اتحادیه اروپا مخفف څه معنی لري؟,general,,
225,In welchem anderen Land gibt es eine große deutschsprachige Bevölkerung?,Which other country has a large German-speaking population?,کدام کشور دیگر جمعیت زیادی آلمانی زبان دارد؟,کوم نور هیواد لویه جرمني خبري نفوس لري؟,general,,
226,Welche ist die Flagge der Europäischen Union?,What is the flag of the European Union?,پرچم اتحادیه اروپا چیست؟,د اروپايي اتحاديې پرچم څه ده؟,general,,1.0
227,Welches Land ist ein Nachbarland von Deutschland?,Which country is a neighboring country of Germany?,کدام کشور همسایه آلمان است؟,کوم هیواد د آلمان ګاونډي هیواد دی؟,general,,
228,Wie wird der Beitritt der DDR zur Bundesrepublik Deutschland im Jahr 1990 allgemein genannt?,What is the general term for the GDR's accession to the Federal Republic of Germany in 1990?,اصطلاح کلی برای پیوستن GDR به جمهوری فدرال آلمان در سال 1990 چیست؟,په 1990 کې د جرمني وفاقي جمهوریت ته د GDR د اتحاد لپاره عمومي اصطلاح څه دی؟,general,,
229,Welches Land ist ein Nachbarland von Deutschland?,Which country is a neighboring country of Germany?,کدام کشور همسایه آلمان است؟,کوم هیواد د آلمان ګاونډي هیواد دی؟,general,,
230,"Das Europäische Parlament wird regelmäßig gewählt, nämlich alle ...","The European Parliament is elected regularly, i.e. all...",پارلمان اروپا به طور منظم انتخاب می شود، یعنی همه...,اروپا پارلمان په منظم ډول ټاکل کیږي، یعنی ټول...,general,,
231,"Was bedeutet der Begriff ""europäische Integration""?",What does the term “European integration” mean?,اصطلاح «ادغام اروپا» به چه معناست؟,اصطلاح «اروپايي ادغام» څه معنی لري؟,general,,
232,Wer wird bei der Europawahl gewählt?,Who is elected in the European elections?,چه کسانی در انتخابات اروپا انتخاب می شوند؟,په اروپایی ټاکنو کې څوک ټاکل کیږي؟,general,,
233,Welches Land ist ein Nachbarland von Deutschland?,Which country is a neighboring country of Germany?,کدام کشور همسایه آلمان است؟,کوم هیواد د آلمان ګاونډي هیواد دی؟,general,,
234,Wo ist ein Sitz des Europäischen Parlaments?,Where is the seat of the European Parliament?,مقام پارلمان اروپا کجاست؟,د اروپا پارلمان څوک چیرته دی؟,general,,
235,Der damalige französische Staatspräsident François Mitterrand und der damalige deutsche Bundeskanzler Helmut Kohl gedenken in Verdun gemeinsam der Toten beider Weltkriege. Welches Ziel der Europäischen Union wird bei diesem Treffen deutlich?,The then French President François Mitterrand and the then German Chancellor Helmut Kohl together commemorate the dead of both World Wars in Verdun. What objective of the European Union is clear at this meeting?,فرانسوا میتراند، رئیس جمهور آن زمان فرانسه و هلموت کهل، صدراعظم آن زمان آلمان، با هم مرگ های هر دو جنگ جهانی در وردون را یادآوری می کنند. چه هدف اتحادیه اروپا در این جلسه مشخص است؟,د فرانسې له ورځي ولسمشر فرانسویس میټرنډ او د ورځني جرمني چانسلر هلموت کوهل په ګډه په ورډون کې د دواړو نړیوالو جګړو په دې غونډه کې د اروپايي اتحادیه کوم هدف روښانه ده؟,general,,1.0
236,Wie viele Mitgliedstaaten hat die EU heute?,How many Member States does the EU have today?,اتحادیه اروپا امروزه چند کشور عضو دارد؟,نن اروپا څومره غړي هیوادونه لري؟,general,,
237,"2007 wurde das 50-jährige Jubiläum der ""Römischen Verträge"" gefeiert. Was war der Inhalt der Verträge?","In 2007, the 50th anniversary of the “Treaties of Rome” was celebrated. What was the content of the contracts?",در سال 2007، پنجاه سالگرد «معاهدات رم» جشن گرفت. محتوای قراردادها چیست؟,په ۲۰۰۷ کال کې د «د روم معاهدات» پنځلویه کلنه لمانځل شو. د قراردادونو محتوا څه وه؟,general,,
238,An welchen Orten arbeitet das Europäische Parlament?,Where does the European Parliament work?,پارلمان اروپا کجا کار می کند؟,اروپا پارلمان چیرته کار کوي؟,general,,
239,Durch welche Verträge schloss sich die Bundesrepublik Deutschland mit anderen Staaten zur Europäischen Wirtschaftsgemeinschaft zusammen?,By which treaties did the Federal Republic of Germany join other states to form the European Economic Community?,جمهوری فدرال آلمان با کدام معاهدات به کشورهای دیگر پیوست تا جامعه اقتصادی اروپا را تشکیل دهد؟,د آلمان وفاقي جمهوریت د اروپايي اقتصادي ټولنې جوړولو لپاره د نورو ملتونو سره یوځای شو؟,general,,
240,Seit wann bezahlt man in Deutschland mit dem Euro in bar?,Since when do people in Germany pay with the euro in cash?,از چه زمانی مردم آلمان با یورو به صورت نقد پرداخت می کنند؟,له کله راهیسې چې په جرمني کې خلک د یورو سره په نګاد کې پیسې,general,,
241,"Frau Seger bekommt ein Kind. Was muss sie tun, um Elterngeld zu erhalten?",Mrs. Seger has a child. What does she have to do to receive parental allowance?,خانم سيگر يه بچه داره او برای دریافت کمک هزینه والدین چه باید انجام دهد؟,مېرمن سیګر یو ماشوم لري. هغې د والدین د اجاره د ترلاسه کولو لپاره څه باید وکړي؟,general,,
242,"Wer entscheidet, ob ein Kind in Deutschland in den Kindergarten geht?",Who decides whether a child in Germany goes to kindergarten?,چه کسانی تصمیم می گیرند که آیا کودک در آلمان به مهد کودک می رود؟,څوک پریکړه کوي چې ایا په جرمني کې یو ماشوم کینډر,general,,
243,Maik und Sybille wollen mit Freunden an ihrem deutschen Wohnort eine Demonstration auf der Straße abhalten. Was müssen sie vorher tun?,Maik and Sybille want to hold a demonstration on the street with friends at their home in Germany. What do they have to do first?,مایک و سیبیل می خواهند تظاهراتی در خیابان با دوستان در خانه خود در آلمان برگزار کنند. ابتدا باید چه کار کنند؟,میک او سیبیل غواړي چې په جرمني کې په خپل کور کې ملګرو سره په سړک کې مظاهره ترسره کړي. دوی لومړی څه باید وکړي؟,general,,
244,"Welchen Schulabschluss braucht man normalerweise, um an einer Universität in Deutschland ein Studium zu beginnen?",What school leaving certificate do you normally need to start studying at a university in Germany?,به طور معمول برای شروع تحصیل در دانشگاه آلمان به چه گواهی ترک مدرسه نیاز دارید؟,تاسو په عمومي ډول په جرمني کې په یوه پوهنتون کې د زده کړې پیل کولو لپاره د کوم ښوونځي د,general,,
245,Wer darf in Deutschland nicht als Paar zusammenleben?,Who is not allowed to live together as a couple in Germany?,چه کسانی مجاز به زندگی با هم به عنوان زوج در آلمان ندارند؟,څوک اجازه نه لري چې په جرمني کې د یوځو په توګه یوځای ژوند کړي,general,,
246,Ab welchem Alter ist man in Deutschland volljährig?,From what age do you come of age in Germany?,از چه سنی در آلمان بالغ می شوید؟,تاسو په آلمان کې د کوم عمر څخه راځئ؟,general,,
247,Eine Frau ist schwanger. Sie ist kurz vor und nach der Geburt ihres Kindes vom Gesetz besonders beschützt. Wie heißt dieser Schutz?,A woman is pregnant. She is particularly protected by law shortly before and after the birth of her child. What is this protection called?,یک زن باردار است. او به ویژه توسط قانون مدت کوتاهی قبل و بعد از تولد فرزندش محافظت می شود. این حفاظت چه نام دارد؟,یو ښځه حامله دی. هغې په ځانګړي توګه د خپل ماشوم د زېږېدو څخه لږ څه مخکې او وروسته دا محافظت څه نوم کیږي؟,general,,
248,Die Erziehung der Kinder ist in Deutschland ist vor allem Aufgabe ...,Raising children in Germany is primarily a task...,تربیت کودکان در آلمان در درجه اول یک وظیفه است...,په جرمني کې د ماشومانو لوړول په اصل کې یو دنده دی,general,,
249,Wer ist in Deutschland hauptsächlich verantwortlich für die Kindererziehung?,Who is primarily responsible for raising children in Germany?,چه کسانی عمدتاً مسئول تربیت کودکان در آلمان هستند؟,په جرمني کې د ماشومانو د لوړولو لپاره څوک مسوله,general,,
250,"In Deutschland hat man die besten Chancen auf einen gut bezahlten Arbeitsplatz, wenn man ...","In Germany, you have the best chance of finding a well-paid job if you...",در آلمان، شما بهترین شانس پیدا کردن یک شغل با درآمد خوب را دارید اگر...,په جرمني کې، تاسو د ښه معاوضې دندې موندلو غوره فرصت لرئ که تاسو...,general,,
251,"Wenn man in Deutschland ein Kind schlägt, ...","If you hit a child in Germany,...",اگر در آلمان یک کودک را ضربه بزنید،,که تاسو په جرمني کې یو ماشوم وګرځئ،...,general,,
252,In Deutschland ...,In Germany...,در آلمان...,په جرمني کې...,general,,
253,"Wo müssen Sie sich anmelden, wenn Sie in Deutschland umziehen?",Where do you have to register if you move to Germany?,اگر به آلمان نقل مکان می کنید کجا باید ثبت نام کنید؟,تاسو باید چیرته راجستر کړئ که تاسو جرمني ته لاړ شئ؟,general,,
254,"In Deutschland dürfen Ehepaare sich scheiden lassen. Meistens müssen sie dazu das ""Trennungsjahr"" einhalten. Was bedeutet das?","In Germany, married couples are allowed to divorce. In most cases, they must comply with the “separation year”. What does that mean?",در آلمان، زوج های متاهل مجاز به طلاق دارند. در بیشتر موارد، آنها باید با «سال جدایی» مطابقت داشته باشند. اين به چه معناست؟,په جرمني کې، واده شوي جوړو د طلاق اجازه ورکوي. په ډیری مواردو کې، دوی باید د «جلا کولو کال» سره تعمیل وکړي. دا څه معنی لري؟,general,,
255,Bei Erziehungsproblemen können Eltern in Deutschland Hilfe erhalten vom ...,"In the event of educational problems, parents in Germany can receive help from...",در صورت بروز مشکلات آموزشی، والدین در آلمان می توانند از...,د تعلیمي ستونزو په صورت کې، په جرمني کې والدین کولی شي مرسته ترلاسه کړي...,general,,
256,Ein Ehepaar möchte in Deutschland ein Restaurant eröffnen. Was braucht es dazu unbedingt?,A couple would like to open a restaurant in Germany. What is absolutely necessary for this?,یک زوج دوست دارند یک رستوران در آلمان باز کنند. چه چیزی برای این کار کاملاً لازم است؟,یو ځوانه غواړي چې په جرمني کې یو رستورانت پرانیستل د دې لپاره په بشپړه توګه څه اړین دی؟,general,,
257,Eine erwachsene Frau möchte in Deutschland das Abitur nachholen. Das kann sie an ...,An adult woman wants to catch up on her Abitur in Germany. She can do that at...,یک زن بزرگسال می خواهد در آلمان با آبیتور خود را دنبال کند. او می تواند این کار را در...,یو بالغ ښځه غواړي چې په جرمني کې د خپل ابیټور باندې نیسي. هغې کولی شي دا په...,general,,
258,Was darf das Jugendamt in Deutschland?,What is the Youth Welfare Office allowed to do in Germany?,اداره رفاه جوانان در آلمان چه کاری انجام می دهد؟,په جرمني کې د ځوانانو د فلاح دفتر څه اجازه ورکوي؟,general,,
259,Das Berufsinformationszentrum BIZ bei der Bundesagentur für Arbeit in Deutschland hilft bei der ...,The BIZ career information center at the Federal Employment Agency in Germany helps with...,مرکز اطلاعات شغلی BIZ در آژانس استخدام فدرال در آلمان به...,په آلمان کې د فدرال د کارموندنې ادارې کې د BIZ د کاري معلوماتو مرکز سره مرسته کوي...,general,,
260,In Deutschland hat ein Kind in der Schule ...,"In Germany, a child at school has...",در آلمان یک کودک در مدرسه...,په جرمني کې، په ښوونځي کې یو ماشوم...,general,,
261,Ein Mann möchte mit 30 Jahren in Deutschland sein Abitur nachholen. Wo kann er das tun? An ...,A man wants to catch up on his Abitur in Germany at the age of 30. Where can he do that? At...,یک مرد می خواهد در سن ۳۰ سالگی در آلمان با آبیتور خود پیگیری کند. کجا ميتونه اين کارو بکنه؟ در...,یو سړی غواړي چې په ۳۰ کلنه کې په جرمني کې د خپل ابیټور باندې نیسي. هغه چیرته کولی شي دا وکړي؟ په...,general,,
262,Was bedeutet in Deutschland der Grundsatz der Gleichbehandlung?,What does the principle of equal treatment mean in Germany?,اصل برخورد برابر در آلمان به چه معناست؟,په آلمان کې د مساوي درملنې اصل څه معنی لري؟,general,,
263,"In Deutschland sind Jugendliche ab 14 Jahren strafmündig. Das bedeutet: Jugendliche, die 14 Jahre und älter sind und gegen Strafgesetze verstoßen, ...","In Germany, young people aged 14 and over have criminal responsibility. This means: young people who are 14 years of age and over and who violate criminal laws,...",در آلمان جوانان ۱۴ سال و بالاتر مسئولیت کیفری دارند. این بدان معناست: جوانانی که 14 سال و بالاتر هستند و قوانین کیفری را نقض می کنند،...,په جرمني کې، د 14 او زیات کلن ځوانان جرمي مسؤلیت لري. دا پدې معنی لري: ځوانان چې د 14 کلن او زیات وړ دي او څوک چې د جرمي قوانین سرغړي کوي،...,general,,
264,"In Deutschland sind Jugendliche ab 14 Jahren strafmündig. Das bedeutet: Jugendliche, die 14 Jahre und älter sind und gegen Strafgesetze verstoßen, ...","In Germany, young people aged 14 and over have criminal responsibility. This means: young people who are 14 years of age and over and who violate criminal laws,...",در آلمان جوانان ۱۴ سال و بالاتر مسئولیت کیفری دارند. این بدان معناست: جوانانی که 14 سال و بالاتر هستند و قوانین کیفری را نقض می کنند،...,په جرمني کې، د 14 او زیات کلن ځوانان جرمي مسؤلیت لري. دا پدې معنی لري: ځوانان چې د 14 کلن او زیات وړ دي او څوک چې د جرمي قوانین سرغړي کوي،...,general,,
265,"Wohin muss man in Deutschland zuerst gehen, wenn man heiraten möchte?",Where do you have to go first in Germany if you want to get married?,اگر می خواهید ازدواج کنید، ابتدا باید در آلمان کجا بروید؟,که تاسو غواړئ واده شئ په جرمني کې لومړی چیرته لاړ شئ؟,general,,
266,Wann beginnt die gesetzliche Nachtruhe in Deutschland?,When does the legal night rest start in Germany?,استراحت شب قانونی در آلمان چه زمانی آغاز می شود؟,په جرمني کې کله قانوني شپې آرام پیل کیږي؟,general,,
267,"Eine junge Frau in Deutschland, 22 Jahre alt, lebt mit ihrem Freund zusammen. Die Eltern der Frau finden das nicht gut, weil ihnen der Freund nicht gefällt. Was können die Eltern tun?","A young woman in Germany, 22 years old, lives with her boyfriend. The woman's parents don't like it because they don't like the boyfriend. What can parents do?",یک زن جوان در آلمان، ۲۲ ساله، با دوست پسرش زندگی می کند. والدین زن آن را دوست ندارند چون دوست پسر را دوست ندارند. والدین چه کاری می توانند انجام دهند؟,په جرمني کې یوه ځوان ښځه، ۲۲ کلن، د خپل بېرنډ سره ژوند کوي د ښځې والدین دا نه خوښوي ځکه چې دوی د بوینډ نه خوښوي. والدین څه کولی شي؟,general,,
268,"Eine junge Frau will den Führerschein machen. Sie hat Angst vor der Prüfung, weil ihre Muttersprache nicht Deutsch ist. Was ist richtig?",A young woman wants to get a driver's license. She is afraid of taking the exam because her mother tongue is not German. What is correct?,یک زن جوان می خواهد گواهینامه رانندگی بگیرد. او از انجام امتحان می ترسد زیرا زبان مادری او آلمانی نیست. چه چیزی درست است؟,یوه ځوان ښځه غواړي د چلوونکي جواز ترلاسه کړي. هغې د امتحان د اخیستلو ډېره ده ځکه چې د هغې مور ژبه جرمني نه دی څه صحیح دی؟,general,,
269,-In Deutschland haben Kinder ab dem Alter von drei Jahren bis zur Ersteinschulung einen Anspruch auf ...,"-In Germany, children from the age of three until they start school are entitled to...",-در آلمان، کودکان از سه سالگی تا شروع مدرسه حق دارند...,-په جرمني کې د درې کلنو عمر څخه تر هغوی د ښوونځي پیل پورې ماشومان د...,general,,
270,Die Volkshochschule in Deutschland ist eine Einrichtung ...,The adult education center in Germany is an institution...,مرکز آموزش بزرگسالان در آلمان یک موسسه است...,په جرمني کې د بالغانو زده کړو مرکز یوه موسسه ده...,general,,
271,Was ist in Deutschland ein Brauch zu Weihnachten?,What is a Christmas custom in Germany?,عادت کریسمس در آلمان چیست؟,په آلمان کې د کرسمس معمول څه شی دی؟,general,,
272,Welche Lebensform ist in Deutschland nicht erlaubt?,Which way of life is not allowed in Germany?,کدام شیوه زندگی در آلمان مجاز نیست؟,په جرمني کې د ژوند کوم لاره اجازه نه دی؟,general,,
273,Bei Erziehungsproblemen gehen Sie in Deutschland ...,"If you have educational problems in Germany, go...",اگر در آلمان مشکلات آموزشی دارید، بروید...,که تاسو په آلمان کې تعلیمي ستونزې لرئ، لاړ شئ...,general,,
274,"Sie haben in Deutschland absichtlich einen Brief geöffnet, der an eine andere Person adressiert ist. Was haben Sie nicht beachtet?","In Germany, you have intentionally opened a letter addressed to someone else. What did you not pay attention to?",در آلمان، شما عمداً نامه ای را به شخص دیگری باز کرده اید. به چه چیزی توجه نکردید؟,په جرمني کې تاسو په قصد سره یو لیک پرانستل کړی دی چې بل چا ته خطاب کړی تاسو څه ته پام نه ورکړه؟,general,,
275,Was braucht man in Deutschland für eine Ehescheidung?,What do you need for a divorce in Germany?,برای طلاق در آلمان به چه چیزی نیاز دارید؟,تاسو په آلمان کې د طلاق لپاره څه ته اړتیا لرئ؟,general,,
276,"Was sollten Sie tun, wenn Sie von Ihrer Ansprechpartnerin/Ihrem Ansprechpartner in einer deutschen Behörde schlecht behandelt werden?",What should you do if you are mistreated by your contact person in a German authority?,اگر شخص مخاطب خود در یک مقام آلمانی با شما بدرفتاری شود چه باید انجام دهید؟,تاسو باید څه وکړئ که تاسو د جرمني واک کې ستاسو د اړیکو شخص لخوا بې سلول شي؟,general,,
277,"Eine Frau, die ein zweijähriges Kind hat, bewirbt sich in Deutschland um eine Stelle. Was ist ein Beispiel für Diskriminierung? Sie bekommt die Stelle nur deshalb nicht, weil sie ...",A woman who has a two-year-old child applies for a job in Germany. What is an example of discrimination? The only reason she doesn't get the job is because she...,زنی که یک فرزند دو ساله دارد برای کار در آلمان درخواست می کند. نمونه ای از تبعیض چیست؟ تنها دلیلی که او شغل را نمی گیرد این است که او...,یو ښځه چې دوه کلن ماشوم لري په جرمني کې د دندې لپاره غوښتنه کوي. د تبعیض بیلګه څه شی دی؟ یوازې دلیل چې هغې دنده نه ترلاسه کوي ځکه چې هغې...,general,,
278,"Ein Mann im Rollstuhl hat sich auf eine Stelle als Buchhalter beworben. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil er ...",A man in a wheelchair has applied for a job as an accountant. What is an example of discrimination? The only reason he doesn't get the job is because he...,مردی در صندلی چرخ برای شغل حسابدار درخواست کرده است. نمونه ای از تبعیض چیست؟ تنها دلیلی که او شغل را نمی گیرد این است که او...,په ویلچر کې یو سړی د حسابدار په توګه د دندې غوښتنه کړی دی. د تبعیض بیلګه څه شی دی؟ یوازې دلیل چې هغه دنده نه ترلاسه کوي ځکه چې هغه...,general,,
279,"In den meisten Mietshäusern in Deutschland gibt es eine ""Hausordnung"". Was steht in einer solchen ""Hausordnung""? Sie nennt ...",Most apartment buildings in Germany have “house rules.” What are in such “house rules”? She calls...,اکثر ساختمانهای آپارتمان آلمان «قوانین خانه» دارند. چه چیزی در چنین «قوانین خانه» وجود دارد؟ اون زنگ ميزنه...,په آلمان کې ډیری اپارتمان ودانۍ «د کور قواعد» لري. په داسې «کور قواعد» کې څه دي؟ هغې غږ کوي...,general,,
280,"Wenn Sie sich in Deutschland gegen einen falschen Steuerbescheid wehren wollen, müssen Sie ...","If you want to defend yourself against a false tax assessment in Germany, you must...",اگر می خواهید از خود در برابر ارزیابی مالیاتی نادرست در آلمان دفاع کنید، باید...,که تاسو غواړئ په جرمني کې د غلط مالیې ارزونې په وړاندې خپل ځان دفاع کړئ،,general,,
281,Zwei Freunde wollen in ein öffentliches Schwimmbad in Deutschland. Beide haben eine dunkle Hautfarbe und werden deshalb nicht hineingelassen. Welches Recht wird in dieser Situation verletzt? Das Recht auf ...,Two friends want to go to a public swimming pool in Germany. Both have dark skin and are therefore not allowed in. Which law is violated in this situation? The right to...,دو دوست می خواهند به یک استخر عمومی در آلمان بروند. هر دو پوست تیره دارند و بنابراین مجاز به ورود نیستند. کدام قانون در این وضعیت نقض می شود؟ حق این که...,دوه ملګري غواړي چې په جرمني کې یو عامه د شویو حوزه ته لاړ دواړه توره پوسته لري او له همدې امله اجازه نه دي. په دې حالت کې کوم قانون سرغړونه کیږي؟ د... حق,general,,
282,"Welches Ehrenamt müssen deutsche Staatsbürgerinnen und Staatsbürger übernehmen, wenn sie dazu aufgefordert werden?",What volunteer work do German citizens have to take on if they are asked to do so?,شهروندان آلمانی در صورت خواسته شدن این کار باید چه کارهایی داوطلبانه انجام دهند؟,که چیرې د هغوی وغوښتل کیږي، د جرمني وګړي کوم داوطلبي کار واخلي؟,general,,
283,"Was tun Sie, wenn Sie eine falsche Rechnung von einer deutschen Behörde bekommen?",What do you do if you receive an incorrect invoice from a German authority?,اگر یک فاکتور نادرست از یک مقام آلمانی دریافت کنید چه کاری انجام می دهید؟,تاسو څه کوئ که تاسو د آلمان واک څخه غلط انویس ترلاسه کړئ؟,general,,
284,"Was man für die Arbeit können muss, ändert sich in Zukunft sehr schnell. Was kann man tun?",What you need to be able to do for work will change very quickly in the future. What can you do?,آنچه برای کار باید بتوانید انجام دهید در آینده بسیار سریع تغییر خواهد کرد. چيکار ميتوني انجام بدي؟,هغه څه چې تاسو اړتیا لرئ چې د کار لپاره ترسره کولو وړ شئ به په راتلونکي کې ډیر چټکتیا بدل تاسو څه کولی شئ؟,general,,
285,Frau Frost arbeitet als fest angestellte Mitarbeiterin in einem Büro. Was muss sie nicht von ihrem Gehalt bezahlen?,Ms. Frost works as a permanent employee in an office. What does she not have to pay from her salary?,خانم فراست به عنوان یک کارمند دائمی در یک دفتر کار می کند. او مجبور نیست از دستمزدش چه چیزی بپردازد؟,ښاغلي فراسټ په دفتر کې د دائمي کارمندان په توګه کار کوي. هغې د خپل معاش څه پیسې نه ورکوي؟,general,,
286,Welche Organisation in einer Firma hilft den Arbeitnehmerinnen und Arbeitnehmern bei Problemen mit der Arbeitgeberin/dem Arbeitgeber?,Which organization in a company helps employees with problems with the employer?,کدام سازمان در یک شرکت به کارمندان با مشکلات کارفرما کمک می کند؟,په یو شرکت کې کوم سازمان د کارمندانو سره د کارمندانو سره مرسته کوي؟,general,,
287,Sie möchten bei einer Firma in Deutschland ihr Arbeitsverhältnis beenden. Was müssen Sie beachten?,You would like to end your employment with a company in Germany. What do you need to consider?,شما می خواهید اشتغال خود را در یک شرکت در آلمان پایان دهید. چه چیزی را باید در نظر بگیرید؟,تاسو غواړئ په جرمني کې د یوې شرکت سره خپل کارموندنه ختم کړئ. تاسو څه ته اړتیا لرئ؟,general,,
288,Woraus begründet sich Deutschlands besondere Verantwortung für Israel?,What is Germany's particular responsibility for Israel based on?,مسئولیت خاص آلمان نسبت به اسرائیل بر چه اسرائیل براساس است؟,د اسراییل لپاره د آلمان ځانګړې مسؤلیت په څه بنسټ دی؟,general,,
289,"Ein Mann mit dunkler Hautfarbe bewirbt sich um eine Stelle als Kellner in einem Restaurant in Deutschland. Was ist ein Beispiel für Diskriminierung? Er bekommt die Stelle nur deshalb nicht, weil ...",A dark-skinned man applies for a job as a waiter in a restaurant in Germany. What is an example of discrimination? The only reason he doesn't get the job is because...,یک مرد پوست تیره برای شغل پیشخدمت در یک رستوران در آلمان درخواست می کند. نمونه ای از تبعیض چیست؟ تنها دلیلی که او شغل را نمی گیرد این است که...,یو تیره پوسته سړی په جرمني کې په یوه رستوران کې د ویټر په توګه د دندې لپاره غوښتنه کوي. د تبعیض بیلګه څه شی دی؟ یوازې دلیل چې هغه دنده نه ترلاسه کوي ځکه چې...,general,,
290,"Sie haben in Deutschland einen Fernseher gekauft. Zu Hause packen Sie den Fernseher aus, doch er funktioniert nicht. Der Fernseher ist kaputt. Was können Sie machen?","You bought a television in Germany. At home, you unpack the television but it doesn't work. The television is broken. What can you do?",تو یه تلویزیون رو تو آلمان خریدی در خانه، تلویزیون را باز می کنید اما کار نمی کند. تلویزیون خراب شده چيکار ميتوني انجام بدي؟,تاسو په جرمني کې تلویزیون وپلورئ. په کور کې، تاسو تلویزیون پاک کړئ مګر دا کار نه کوي. تلویزیون مات شوی دی. تاسو څه کولی شئ؟,general,,
291,"Warum muss man in Deutschland bei der Steuererklärung aufschreiben, ob man zu einer Kirche gehört oder nicht? Weil ...",Why do you have to write down in your tax return whether you belong to a church or not? Because...,چرا باید در بیانیه مالیاتی خود بنویسید که آیا به کلیسا تعلق دارید یا نه؟ چون...,ولې تاسو باید خپل د مالیې په بیان کې لیکلئ چې ایا تاسو د کلیسا سره تعلق لري یا نه؟ ځکه چې...,general,,
292,Die Menschen in Deutschland leben nach dem Grundsatz der religiösen Toleranz. Was bedeutet das?,People in Germany live according to the principle of religious tolerance. What does that mean?,مردم آلمان بر اساس اصل تحمل مذهبی زندگی می کنند. اين به چه معناست؟,په جرمني کې خلک د مذهبي زغم د اصول مطابق ژوند کوي. دا څه معنی لري؟,general,,
293,Was ist in Deutschland ein Brauch zu Ostern?,What is a custom at Easter in Germany?,عادت عید پاک در آلمان چیست؟,په جرمني کې په ایستر کې یو معمول څه شی دی؟,general,,
294,Pfingsten ist ein ...,Pentecost is a...,پنتاکست یک...,پینټکوست یو...,general,,
295,Welche Religion hat die europäische und deutsche Kultur geprägt?,Which religion has shaped European and German culture?,کدام مذهب فرهنگ اروپایی و آلمان را شکل داده است؟,کوم مذهب اروپایی او جرمني کلتور جوړ کړی؟,general,,
296,In Deutschland nennt man die letzten vier Wochen vor Weihnachten ...,"In Germany, the last four weeks before Christmas are called...",در آلمان، چهار هفته گذشته قبل از کریسمس نامیده می شود...,په جرمني کې، د کرسمس وړاندې وروستي څلور اونۍ په نوم,general,,
297,Aus welchem Land sind die meisten Migrantinnen und Migranten nach Deutschland gekommen?,Which country did the most immigrants come to Germany from?,بیشترین مهاجران از کدام کشور به آلمان آمده اند؟,د کوم هیواد څخه تر ټولو زیات مهاجران د آلمان ته راغلي؟,general,,
298,In der DDR lebten vor allem Migrantinnen und Migranten aus ...,"In the GDR, it was mainly migrants from...",در GDR، عمدتا مهاجران از...,په GDR کې، دا په عمده توګه مهاجران و...,general,,
299,"Ausländische Arbeitnehmerinnen und Arbeitnehmer, die in den 50er und 60er Jahren von der Bundesrepublik Deutschland angeworben wurden, nannte man ...",Foreign workers who were recruited by the Federal Republic of Germany in the 50s and 60s were called...,کارگران خارجی که در دهه 50 و 60 توسط جمهوری فدرال آلمان استخدام شدند، نامیده شدند...,بهرني کارکونکي چې د جرمني وفاقي جمهوریت لخوا په ۵۰ او ۶۰ لارونو کې استخدام شوي وو...,general,,
300,Aus welchem Land kamen die ersten Gastarbeiterinnen und Gastarbeiter in die Bundesrepublik Deutschland?,Which country did the first guest workers come to the Federal Republic of Germany from?,اولین کارگران مهمان از کدام کشور به جمهوری فدرال آلمان آمدند؟,لومړی میلمه کارکونکي د جرمني وفاقي جمهوریت ته د کوم هیواد څخه راغلی,general,,
